Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Jeff Adrien,PF,25,HOU,8,0,63,7,16,0.438,0,0,,7,16,0.438,0.438,7,12,0.583,5,17,22,1,0,2,2,13,21,adrieje01
2,Arron Afflalo,SG,26,DEN,62,62,2086,329,699,0.471,88,221,0.398,241,478,0.504,0.534,197,247,0.798,40,157,197,149,36,13,85,134,943,afflaar01
3,Blake Ahearn,PG,27,UTA,4,0,30,4,14,0.286,2,9,0.222,2,5,0.4,0.357,0,0,,0,2,2,1,0,0,5,4,10,ahearbl01
4,Solomon Alabi,C,23,TOR,14,0,122,13,36,0.361,0,0,,13,36,0.361,0.361,7,8,0.875,15,32,47,3,2,9,5,11,33,alabiso01
5,Cole Aldrich,C,23,OKC,26,0,173,22,42,0.524,0,0,,22,42,0.524,0.524,13,14,0.929,13,35,48,3,8,16,9,22,57,aldrico01
6,LaMarcus Aldridge,PF,26,POR,55,55,1994,483,943,0.512,2,11,0.182,481,932,0.516,0.513,223,274,0.814,150,292,442,134,51,45,111,153,1191,aldrila01
7,Lavoy Allen,PF,22,PHI,41,15,624,79,167,0.473,0,0,,79,167,0.473,0.473,11,14,0.786,47,124,171,34,13,18,20,73,169,allenla01
8,Ray Allen*,SG,36,BOS,46,42,1565,226,493,0.458,106,234,0.453,120,259,0.463,0.566,97,106,0.915,14,128,142,109,49,8,68,83,655,allenra02
9,Tony Allen,SG,30,MEM,58,57,1525,210,448,0.469,8,26,0.308,202,422,0.479,0.478,140,175,0.8,98,135,233,79,104,33,94,142,568,allento01
10,Morris Almond,SG,26,WAS,4,0,67,6,17,0.353,1,3,0.333,5,14,0.357,0.382,1,3,0.333,1,7,8,2,7,0,1,6,14,almonmo01
11,Al-Farouq Aminu,SF,21,NOH,66,21,1477,150,365,0.411,13,47,0.277,137,318,0.431,0.429,86,114,0.754,95,213,308,66,59,34,91,136,399,aminual01
12,Lou Amundson,PF,29,IND,60,0,753,89,207,0.43,0,0,,89,207,0.43,0.43,35,82,0.427,94,128,222,14,27,44,45,125,213,amundlo01
13,Chris Andersen,C,33,DEN,32,1,486,59,108,0.546,0,0,,59,108,0.546,0.546,50,82,0.61,48,100,148,6,19,46,17,52,168,anderch01
14,Alan Anderson,SF,29,TOR,17,12,461,55,142,0.387,24,61,0.393,31,81,0.383,0.472,29,34,0.853,8,26,34,26,5,3,25,35,163,anderal01
15,James Anderson,SG,22,SAS,51,2,603,66,174,0.379,19,68,0.279,47,106,0.443,0.434,39,52,0.75,16,63,79,41,8,2,30,35,190,anderja01
16,Ryan Anderson,PF,23,ORL,61,61,1964,332,757,0.439,166,422,0.393,166,335,0.496,0.548,150,171,0.877,224,247,471,54,50,26,57,146,980,anderry01
17,Carmelo Anthony,SF,27,NYK,55,55,1876,441,1025,0.43,68,203,0.335,373,822,0.454,0.463,295,367,0.804,88,256,344,200,62,24,144,156,1245,anthoca01
18,Joel Anthony,C,29,MIA,64,51,1349,85,152,0.559,0,0,,85,152,0.559,0.559,49,71,0.69,100,150,250,9,36,84,45,126,219,anthojo01
19,Gilbert Arenas,PG,30,MEM,17,0,211,26,64,0.406,13,39,0.333,13,25,0.52,0.508,7,10,0.7,2,16,18,18,11,1,12,35,72,arenagi01
20,Trevor Ariza,SF,26,NOH,41,41,1350,168,403,0.417,29,87,0.333,139,316,0.44,0.453,79,102,0.775,41,174,215,135,69,25,76,73,444,arizatr01
21,Ömer Aşık,C,25,CHI,66,2,971,79,156,0.506,0,0,,79,156,0.506,0.506,47,103,0.456,127,223,350,32,30,68,68,121,205,asikom01
22,D.J. Augustin,PG,24,CHA,48,46,1408,183,487,0.376,61,179,0.341,122,308,0.396,0.438,105,120,0.875,24,85,109,307,36,1,110,65,532,augusdj01
23,Gustavo Ayón,PF,26,NOH,54,24,1088,140,261,0.536,0,1,0,140,260,0.538,0.536,39,63,0.619,86,179,265,74,53,46,46,118,319,ayongu01
24,Jeff Ayres,C,24,IND,20,1,106,15,36,0.417,0,0,,15,36,0.417,0.417,4,7,0.571,12,21,33,4,3,2,2,16,34,pendeje02
25,Kelenna Azubuike,SG,28,DAL,3,0,18,3,8,0.375,1,3,0.333,2,5,0.4,0.438,0,0,,0,0,0,0,1,0,4,1,7,azubuke01
26,Luke Babbitt,SF,22,POR,40,4,537,71,173,0.41,43,100,0.43,28,73,0.384,0.535,17,20,0.85,16,79,95,16,10,4,27,46,202,babbilu01
27,Renaldo Balkman,SF,27,NYK,14,0,115,16,32,0.5,2,9,0.222,14,23,0.609,0.531,8,11,0.727,6,20,26,5,4,3,6,14,42,balkmre01
28,Leandro Barbosa,SG,29,TOT,64,0,1382,271,637,0.425,65,170,0.382,206,467,0.441,0.476,101,124,0.815,33,95,128,96,56,7,94,135,708,barbole01
28,Leandro Barbosa,SG,29,TOR,42,0,946,198,454,0.436,40,111,0.36,158,343,0.461,0.48,76,91,0.835,21,58,79,63,36,7,68,101,512,barbole01
28,Leandro Barbosa,SG,29,IND,22,0,436,73,183,0.399,25,59,0.424,48,124,0.387,0.467,25,33,0.758,12,37,49,33,20,0,26,34,196,barbole01
29,J.J. Barea,PG,27,MIN,41,11,1032,167,418,0.4,53,143,0.371,114,275,0.415,0.463,76,98,0.776,14,100,114,232,21,0,103,61,463,bareajo01
30,Andrea Bargnani,C,26,TOR,31,31,1032,209,484,0.432,34,115,0.296,175,369,0.474,0.467,151,173,0.873,24,148,172,61,18,15,69,52,603,bargnan01
31,Matt Barnes,SF,31,LAL,63,16,1440,175,387,0.452,46,138,0.333,129,249,0.518,0.512,95,128,0.742,97,247,344,126,35,48,73,152,491,barnema02
32,Earl Barron,C,30,GSW,2,0,9,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,1,0,1,0,0,0,0,5,4,barroea01
